Group Id,Legally incorporated,Legal form,Date of incorporation,Group Formation Date,Are they working with the Hub?,Registered Provider,Charitable Status,Project ID,Project Postcode Area,Current Stage,Approach/Model,Total number of homes,Target overall year for completion,Affordable Rent Homes,Discounted Market Sale Homes (% income),Discounted Market Sale Homes (% market),Intermediate Rent Homes,Market Sale Homes,Mutual Home Ownership Homes,Social Rent Homes,Living Rent Homes,Market Rent Homes,Shared Equity Homes,Shared Ownership Homes,Rent to Buy Homes,Undetermined Tenure Homes,Refurbished Homes,New Build Homes,Not Known Age Homes,Homes bought from developer,Custom-build homes,Self-finish homes,Conventional build method homes,Self-build homes,Not known build method homes,
636,TRUE,Company Limited by Guarantee,20/02/2001,,,FALSE,FALSE,663,RH14,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
672,TRUE,Registered Society (formerly known as Industrial and Provident Society),02/08/2012,01/02/2012,No,FALSE,FALSE,649,TA14,Live,Community Land Trust,10,2015,8,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,10,0,0,
804,TRUE,Community Benefit Society (non-charitable),07/04/2016,,No,FALSE,FALSE,836,TA19,Live,Community Land Trust,3,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,
1404,FALSE,,,,,FALSE,FALSE,1484,SN8,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1405,FALSE,,,,,FALSE,FALSE,1485,EX14,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1406,FALSE,,,,,FALSE,FALSE,1486,WR8,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,Community Benefit Society (non-charitable),30/11/2018,,,FALSE,FALSE,10,PO41,No Stage Selected,Community Land Trust,10,,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,10,
29,TRUE,Community Interest Company,05/04/2018,,,FALSE,FALSE,29,BS11,No Stage Selected,Community Land Trust,45,,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,45,
54,TRUE,Company Limited by Guarantee,,,,FALSE,FALSE,55,CF24,Group,Community Land Trust,25,2024,15,0,0,0,0,0,0,0,0,0,5,0,5,0,0,25,0,0,0,0,0,25,
1407,FALSE,,,,,FALSE,FALSE,1487,M41,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1408,FALSE,,,,,FALSE,FALSE,1488,,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1409,FALSE,,,,,FALSE,FALSE,1489,CT1,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1410,FALSE,,,,,FALSE,FALSE,1490,EX39,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1411,TRUE,Community Benefit Society (non-charitable),23/12/2019,,,FALSE,FALSE,1491,HD9,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1412,TRUE,Community Benefit Society (non-charitable),11/12/2019,,,FALSE,FALSE,1492,NR30,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1413,TRUE,Community Benefit Society (non-charitable),04/03/2020,,,FALSE,FALSE,1493,SA62,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1025,TRUE,Company Limited by Guarantee,20/11/2013,,,FALSE,FALSE,1058,LA12,Site,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1026,TRUE,Registered Society (formerly known as Industrial and Provident Society),08/08/1995,,,FALSE,FALSE,1059,M21,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
41,TRUE,Community Benefit Society (non-charitable),29/08/2018,,,FALSE,FALSE,41,TQ13,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
44,FALSE,,,,,FALSE,FALSE,44,,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
503,TRUE,Community Interest Company,25/04/2018,,,FALSE,FALSE,526,CO15,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
504,FALSE,Not yet incorporated,31/01/2000,,Yes,FALSE,FALSE,527,NE8,Live,Community Land Trust,12,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,
504,FALSE,Not yet incorporated,31/01/2000,,Yes,FALSE,FALSE,1421,NE8,Site,Community Land Trust,24,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,
1100,TRUE,Company Limited by Guarantee,30/03/2012,,Yes,FALSE,FALSE,1133,LA11,Plan,Community Land Trust,10,2021,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,10,0,0,0,0,0,10,
1103,FALSE,Not yet incorporated,,,,FALSE,FALSE,1136,RG8,Concept,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
674,TRUE,Community Benefit Society (non-charitable),05/03/2013,,Yes,FALSE,FALSE,700,NG1,Concept,Cohousing; Community Land Trust,14,,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,14,
675,TRUE,Community Benefit Society (non-charitable),01/04/2015,,,TRUE,FALSE,701,NG5,Concept,Community Land Trust,21,2021,5,0,0,0,0,0,0,0,0,5,7,4,0,0,0,21,0,0,0,0,0,21,
676,TRUE,Community Benefit Society (non-charitable),04/09/2017,,,FALSE,FALSE,702,PL1,Concept,Community Land Trust,80,2023,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,80,0,0,0,0,0,80,
677,TRUE,Community Benefit Society (non-charitable),26/04/2016,,Yes,FALSE,FALSE,703,NW6,Site,Community Land Trust,18,2025,6,0,0,0,0,0,0,3,3,0,6,0,0,0,0,18,0,0,0,0,0,18,
683,TRUE,Registered Society (formerly known as Industrial and Provident Society),08/01/1974,,Yes,TRUE,FALSE,709,RH5,Group,Community Land Trust,15,2024,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,15,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,914,E3,Live,Community Land Trust,23,,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,23,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1304,,Site,Community Land Trust,10,2025,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,110,E1 2,Plan,Community Land Trust,11,2022,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,11,
1000,TRUE,Community Benefit Society (non-charitable),11/02/2014,,,FALSE,FALSE,1033,WR9,Build,Community Land Trust,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,
61,FALSE,Not yet incorporated,,01/07/2016,,FALSE,TRUE,62,RG26,Group,Community Land Trust,4,2021,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,
64,TRUE,Registered Society (formerly known as Industrial and Provident Society),07/11/2013,,,TRUE,FALSE,714,EX12,Plan,Community Land Trust,20,2022,12,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,20,
64,TRUE,Registered Society (formerly known as Industrial and Provident Society),07/11/2013,,,TRUE,FALSE,586,EX12,Live,Community Land Trust,7,2015,4,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,7,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1305,,Plan,Community Land Trust,12,,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,12,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1302,,Site,Community Land Trust,20,2025,8,0,0,0,0,0,0,4,0,0,8,0,0,0,0,20,0,0,0,0,0,20,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1423,,Site,Community Land Trust,25,,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,25,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1143,SE3,Site,Community Land Trust,32,,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,32,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1303,,Site,Community Land Trust,32,,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,32,
570,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/05/2007,,No,FALSE,FALSE,1306,,Plan,Community Land Trust,40,2024,16,0,0,0,0,0,0,8,0,0,16,0,0,0,0,40,0,0,0,0,0,40,
164,TRUE,Community Interest Company,14/12/2011,,,FALSE,FALSE,164,CV1,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
1006,TRUE,Registered Society (formerly known as Industrial and Provident Society),09/07/2012,,,FALSE,FALSE,1040,TQ9,Concept,Community Land Trust,62,,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,0,0,0,62,
1008,TRUE,Community Benefit Society (non-charitable),22/06/2018,,No,FALSE,FALSE,1042,E1 2,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
232,TRUE,Registered Society (formerly known as Industrial and Provident Society),15/03/1988,,,FALSE,TRUE,239,TS1,Build,Community Land Trust,20,2024,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,
248,TRUE,Community Benefit Society (non-charitable),13/03/2007,,,TRUE,FALSE,112,TR1,Live,Community Land Trust,8,2016,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,
248,TRUE,Community Benefit Society (non-charitable),13/03/2007,,,TRUE,FALSE,925,TR1,Live,Community Land Trust,1,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
