Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
Lejdevang (1998),1998,Almene boliger,15,Tæt-lav,"Marmorvej 2-30, 4673 Rødvig",4673
Lille Bangsbo (2002),2002,Almene boliger,22,Tæt-lav,"Bangsbovej, 9900 Frederikshavn",9900
Lumbylyng (2002),2002,Almene boliger,15,Tæt-lav,"Birkelyvej 2-32, Nørre Lyndelse,  5792 Årslev",5792
Lundemarken (ca. 2004),2004,Almene boliger,18,Etagebyggeri,"Lundestrædet, 4300 Holbæk",4300
Lyngvang (2007),2007,Andelsboliger,20,Tæt-lav og etagebyggeri i to plan. ,"Lyngvang 1-21, 2800 Kgs. Lyngby",2800
Maglebo (2003),2003,Almene boliger,16,Tæt-lav,"Havtornvej 42-72, 3300 Frederiksværk",3300
Margrethehåbs Parken (2003),2003,Andelsboliger,28,Tæt-lav,"Kornvej 2-58, 4000 Roskilde ",4000
Mariendalsvej (1992),1992,"Private lejeboliger, pensionskasse",24,Etagebyggeri,"Mariendalsvej 14-18, 2000 Frederiksberg",2000
Marienlyst (2004),2004,Almene boliger,16,Tæt-lav,"Alfred Hansens Plads 36-68, 3650 Ølstykke",3650
Mejdalparken (2003),2003,Almene boliger,12,Tæt-lav,"Mejdalparken 4-26, 7500 Holstebro",7500
MIDGÅRDEN  (1987),1987,Almene boliger,18, Etagebyggeri,"Mjølnerparken 48-50, 2200 København N",2200
Møllebjerg (1992),1992,Andelsboliger ,8,Tæt-lav,"Grevsensgade 30-44, 4220 Korsør",4220
Møllebo (1995),1995,Andelsboliger,40,Tæt-lav,"Kongensgade 64 m.fl., 4100 Ringsted",4100
Møllebo (2002),2002,Almene boliger,20, Tæt-lav,"Dyvelåsen 6-46, 2765 Smørum",2765
Møllebækvej (2004),2004,Andelsboliger,30,Tæt-lav,"Møllemarksvej 1, 4681 Herfølge",4681
Mølleengen (1995),1995,Andelsboliger,14,Etagebyggeri,"Mølleengen 2, 8850 Bjerringbro",8850
Møllevang (2003),2003,Andelsboliger ,38,Tæt-lav,"Møllevang 8 m.fl., 4140 Borup",4140
Mårhøj (2002),2002,Almene boliger,13,Tæt-lav,"Mårhøj 17 A - P, 8751 Gedved",8751
Nordmandsvænget,,Almene boliger,20,Tæt-lav,"Nordmandsvænget 2 A – 2 T, 4050 Skibby",4050
Nyboder (ca. 2003),2003,Almene boliger,15,Tæt-lav,"Sølstedgårdparken 2-30, 6240 Løgumkloster",6240
Oasen (2003),2003,Almene boliger,16,Tæt-lav,"Oasen 1-20, 4470 Svebølle",4470
Optimisternes Fællesbo (1992),1992,Almene boliger,22,To plan,"Toftehaven 5-45, 5220 Odense SØ ",5220
Otium (1989),1989,Andelsboliger,15,Tæt-lav,"Storevang 2-10, 3460 Birkerød",3460
Ottegårdsparken (1999),1999,Almene boliger,18,Tæt-lav,"Ottegårdsparken 1-19, 4130 Viby Sj. ",4130
Perlen (2002),2002,Almene boliger,17,Tæt-lav,"Fregatvej 8-40, 4583 Sjællands Odde",4583
Præsteengen (2004),2004,Andelsboliger,21,Tæt-lav,"Smedebakken 19-61, 8530 Hjortshøj",8530
Reden (2003),2003,Almene boliger,16,Tæt-lav,"Reden 1-20, 4470 Svebølle",4470
Rosenhaven (2004),2004,Almene boliger,11, Tæt-lav,"Rosenhaven 2-24, 3070 Snekkersten",3070
Rosenparken (2004),2004,Ejerboliger,12,Tæt-lav,"Rosenparken, 6870",6870
Rynkebakken (1994),1994,Andelsboliger ,20,Tæt-lav,"Åbanken 7, 4320 Lejre",4320
Ræveholm  (2005),2005,Andelsboliger,24,Tæt-lav,"Ræveholm 21, 4673 Rødvig",4673
Rødkløveren (1999),1999,Almene boliger,18,Etagebyggeri ,"Vamdrupvej 6 A – 10 F, 2610 Rødovre",2610
Røjlehaven (ca. 2002),2002,Almene boliger,20,Tæt-lav,"Røjlehaven 1-20, 4684 Holmegård",4684
Sallings Gård (2008),2008,Almene boliger,23,Etagebyggeri,"Sallings Gård 14, 7800 Skive",7800
Sambo (2005),2005,Almene boliger,15,Etagebyggeri,"Erik Eriksensgade 4, 2300 København S",2300
Sarpsborgparken (2002),2002,Almene boliger,18,Byggeri i et- og to plan,"Sarpsborgparken 2-26, 7600 Struer",7600
Sedenparken (2001),2001,Almene boliger,20,Tæt-lav,"Hvenekildehaven 1-41, 5240 Odense NØ",5240
Senior Boligforeningen Rørsangeren (2004),2004,Andelsboliger,17,Tæt-lav,"Ahornvænget 17 (m.fl.), 3250 Gilleleje",3250
Seniorbo (1998),1998,Almene boliger,23,Etagebyggeri,"Finsensgade 7, 6700 Esbjerg",6700
Seniorbo (2000),2000,Ejerboliger,16,Tæt-lav,"Selmersvej 15 (m.fl.), 8260 Viby J",8260
Seniorbo Asgården (1998),1998,Andelsboliger,15,Tæt-lav,"Krakevej 19 (m.fl.), 8660 Skanderborg",8660
Seniorbo Bøgely (1994),1994,Andelsboliger,28,Tæt-lav,"Skæring Kirkevej 2-58 (m.fl.), 8250 Egå",8250
Seniorbo Damvænget (2000) ,2000,Andelsboliger,18,Tæt-lav,"Stavtrupvej 225-261, 8260 Viby J",8260
Seniorbo Egå (1991),1991,Andelsboliger,20,Tæt-lav,"Åvænget 2-48, 8250 Egå",8250
Seniorbo Engen (2001),2001,Andelsboliger,14,Tæt-lav,"Engen 1-15, 8382 Hinnerup",8382
Seniorbo Flintehøjen (1998),1998,Andelsboliger,20,Tæt-lav,"Flinthøjen 1-39, 8382 Hinnerup",8382
Seniorbo Grindhøj (2001),2001,Andelsboliger,22,Tæt-lav,"Grindhøj 1-28, 8500 Grenå",8500
Seniorbo Hammel (1999),1999,Andelsboliger,15,Tæt-lav,"Jagtvej 56-84, 8450 Hammel",8450
Seniorbo Hedebo (1994),1994,Andelsboliger,25,Tæt-lav,"Skæring Kirkevej 9-57, 8250 Egå",8250
Seniorbo Hedensted (2003),2003,Andelsboliger,20,Tæt-lav,"Bækketoften 15-38, 8722 Hedensted",8722
Seniorbo Hestehaven (2001),2001,Andelsboliger,22,Tæt-lav,"Hestehaven 1-26, 8400 Ebeltoft",8400
Seniorbo Hindhøjen (1999),1999,Andelsboliger,22,Tæt-lav,"Hindhøjen 2-44, 8382 Hinnerup",8382
Seniorbo Holme Bjerge ,,Andelsboliger,39,Tæt-lav,"Holme Parkvej 189-269, 8270 Højbjerg",8270
Seniorbo Hou (1993),1993,Andelsboliger,11,Tæt-lav,"Fyrrevænget 29 (m.fl.), Hou, 8300 Odder",8300
Seniorbo Hyrdestien (2003),2003,Andelsboliger,18,Tæt-lav,"Hyrdestien 1-19, 8400 Ebeltoft",8400
Seniorbo II Hou (1994),1994,Andelsboliger,18,Tæt-lav,"Strandgade, Hou, 8300 Odder",8300
"Seniorbo II, Hammel (2000)",2000,Andelsboliger,22,Tæt-lav,"Jagtvej 63-85, 8450 Hammel",8450
"Seniorbo III, Viby J (1999)",1999,Andelsboliger,23,Tæt-lav,"Bøgeskovparken 7-53, 8260 Viby J",8260
Seniorbo Klokkeskoven (2005),2005,Andelsboliger,21,Tæt-lav,"Klokkeskovvej 31-79, 8260 Viby J",8260
Seniorbo Lystrup,,Andelsboliger,20,Tæt-lav,"Ellebrinken 18 A – 32 C, 8520 Lystrup",8520
Seniorbo Odder (2000),2000,Andelsboliger,15,Tæt-lav,"Saloparken 52-80, 8300 Odder",8300
Seniorbo Omegaparken,,Andelsboliger,24,Tæt-lav,"Omegaparken 1-49, 8260 Viby J",8260
Seniorbo Resenbro (1992),1992,Andelsboliger,10,Tæt-lav,"Skærbækvej 23, 8600 Silkeborg",8600
Seniorbo Rønnebærhaven (1997),1997,Andelsboliger,31,Tæt-lav,"Børupvej 190-252, 8310 Tranbjerg",8310
"Seniorbo Skejbohøj, Skejby (2001)",2001,Andelsboliger,25,Tæt-lav,"Skejbyparken 55-103, 8200 Aarhus N",8200
Seniorbo Skovgården (2007),2007,Andelsboliger,27,Tæt-lav,"Frisenholt 1-55, 8310 Tranbjerg",8310
Seniorbo Skæring IV (1999),1999,Ejerboliger,13,Tæt-lav,"Skæring Parkvej 54-78, 8250 Egå",8250
Seniorbo Skæringspunktet (1996),1996,Andelsboliger,16,Tæt-lav,"Skæring Parkvej, 8250 Egå",8250
Seniorbo Søhøjen (2002),2002,Andelsboliger,26,Tæt-lav,"Søhøjen 71-123, 8381 Tilst",8381
Seniorbo Tornhøj (1991),1991,Andelsboliger,29,Tæt-lav,"Tornhøjvej 2-46 C, 8260 Viby J",8260
"Seniorbo Voldbækhave, tidl. Mølleparken (1994)",1994,Almene boliger,28,et og to plansbyggeri ,"Årslev Møllevej 21, 8220 Brabrand",8220
Seniorboligandelsforeningen Samsonparken (2003),2003,Andelsboliger,20,Etagebyggeri,"Landlystvej 32 C (m.fl.), 2650 Hvidovre",2650
Skovbo (ca. 2002),2002,Almene boliger,20,Tæt-lav,"Løgvej 7-45, 4684 Holmegård",4684
Skovhøjen (ca. 2005),2005,Almene boliger,64,To plan. ,"Skovhøj 201-297, 8361 Hasselager",8361
Sletten (2003),2003,Almene boliger,22,Tæt-lav,"Sletten 1-22, 5450 Otterup ",5450
Slotsbryggen (2006),2006,Almene boliger,21,Etagebyggeri,Slotsbryggen 10 m.fl. 4800 Nykøbing F,4800
Sofielund (1996),1996,Andelsboliger,24,Tæt-lav,"Sofielunden 1 m.fl., 4690 Haslev",4690
Sofielund (1998),1998,Almene boliger,42,Tæt-lav,"Sofielund  4-88, 5700 Svendborg ",5700
Solkilden,,Andelsboliger,20, Tæt-lav,"Langkildevej 10 (m.fl.), 2650 Hvidovre",2650
